frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,yaw in radians,pitch in radians
192,0,6.373,0.98,1,0.012463,-0.00124,-0.999922,-0.088653,0.03725,-0.995366,-0.038,0.018
193,0,6.406,0.98,1,0.01127,-0.010252,-0.999884,-0.090645,0.045143,-0.99486,-0.04,0.017
194,0,6.44,0.98,1,0.003543,-0.015385,-0.999875,-0.08666,0.042282,-0.99534,-0.042,0.013
195,0,6.473,0.98,1,0.003886,-0.010413,-0.999938,-0.09268,0.045522,-0.994655,-0.044,0.018
196,0,6.507,0.98,1,0.017134,0.002359,-0.99985,-0.100918,0.057532,-0.99323,-0.042,0.03
197,0,6.54,0.98,1,0.001493,-0.00241,-0.999996,-0.100911,0.052876,-0.993489,-0.05,0.025
198,0,6.573,0.98,1,0.004987,-0.002991,-0.999983,-0.092864,0.053618,-0.994234,-0.044,0.025
199,0,6.607,0.98,1,0.004656,-0.000121,-0.999989,-0.089342,0.053253,-0.994576,-0.042,0.027
200,0,6.64,0.98,1,0.008849,0.006582,-0.999939,-0.089253,0.053342,-0.99458,-0.04,0.03
201,0,6.673,0.98,1,0.021867,0.007143,-0.999735,-0.101682,0.050585,-0.99353,-0.04,0.029
202,0,6.707,0.98,1,0.014391,0.01145,-0.999831,-0.087236,0.053782,-0.994735,-0.037,0.033
203,0,6.74,0.98,1,-0.002497,0.01181,-0.999927,-0.075667,0.036043,-0.996481,-0.039,0.024
204,0,6.773,0.98,1,-0.00249,0.015821,-0.999872,-0.090364,0.040854,-0.99507,-0.047,0.028
205,0,6.807,0.98,1,-0.001094,0.016507,-0.999863,-0.082904,0.043667,-0.9956,-0.042,0.03
206,0,6.84,0.98,1,0.007392,0.026138,-0.999631,-0.076718,0.042841,-0.996132,-0.035,0.035
207,0,6.874,0.98,1,-0.000978,0.024448,-0.999701,-0.072826,0.041337,-0.996488,-0.037,0.033
208,0,6.907,0.98,1,-0.000929,0.008155,-0.999966,-0.087174,0.04034,-0.995376,-0.044,0.024
209,0,6.94,0.98,1,-0.001196,0.005236,-0.999986,-0.076625,0.036657,-0.996386,-0.039,0.021
210,0,6.974,0.98,1,0.00745,0.009944,-0.999923,-0.078684,0.039503,-0.996117,-0.036,0.025
211,0,7.007,0.98,1,0.011075,0.013633,-0.999846,-0.081702,0.044492,-0.995663,-0.035,0.029
212,0,7.04,0.98,1,0.01287,0.003818,-0.99991,-0.082122,0.040798,-0.995787,-0.035,0.022
213,0,7.074,0.98,1,0.013523,0.008624,-0.999871,-0.091498,0.045058,-0.994785,-0.039,0.027
214,0,7.107,0.98,1,-0.003719,0.006162,-0.999974,-0.082874,0.04146,-0.995697,-0.043,0.024
215,0,7.14,0.98,1,0.002547,0.017329,-0.999847,-0.082775,0.041205,-0.995716,-0.04,0.029
216,0,7.174,0.98,1,0.004155,0.016199,-0.99986,-0.085504,0.039687,-0.995547,-0.041,0.028
217,0,7.207,0.98,1,0.01062,0.019572,-0.999752,-0.081441,0.036776,-0.995999,-0.035,0.028
218,0,7.241,0.98,1,0.009875,0.013427,-0.999861,-0.083566,0.041337,-0.995645,-0.037,0.027
219,0,7.274,0.98,1,0.001653,0.011027,-0.999938,-0.089829,0.051651,-0.994617,-0.044,0.031
220,0,7.307,0.98,1,-0.001854,0.006726,-0.999976,-0.092258,0.041512,-0.994869,-0.047,0.024
221,0,7.341,0.98,1,-0.000208,0.025519,-0.999674,-0.086905,0.049991,-0.994962,-0.044,0.038
222,0,7.374,0.98,1,-0.002338,0.016948,-0.999854,-0.091959,0.048051,-0.994603,-0.047,0.033
223,0,7.407,0.98,1,0.002869,0.021166,-0.999772,-0.097382,0.051572,-0.99391,-0.047,0.036
224,0,7.441,0.98,1,0.008894,0.007474,-0.999933,-0.096526,0.046811,-0.994229,-0.044,0.027
225,0,7.474,0.98,1,-0.000942,0.001986,-0.999998,-0.091687,0.043699,-0.994829,-0.046,0.023
226,0,7.508,0.98,1,0.005322,-0.00053,-0.999986,-0.085776,0.04147,-0.995451,-0.04,0.021
227,0,7.541,0.98,1,0.006248,0.001513,-0.999979,-0.09282,0.043854,-0.994717,-0.043,0.023
228,0,7.574,0.98,1,0.003945,-0.009665,-0.999946,-0.091909,0.042725,-0.99485,-0.044,0.017
229,0,7.608,0.98,1,0.005909,-0.007786,-0.999952,-0.09205,0.035257,-0.99513,-0.043,0.014
230,0,7.641,0.98,1,0.010683,-0.008961,-0.999903,-0.089273,0.032893,-0.995464,-0.039,0.012
231,0,7.674,0.98,1,0.006865,-0.009701,-0.999929,-0.090746,0.036737,-0.995196,-0.042,0.014
232,0,7.708,0.98,1,0.007929,-0.011157,-0.999906,-0.093894,0.035706,-0.994942,-0.043,0.012
233,0,7.741,0.98,1,0.011904,-0.009304,-0.999886,-0.102336,0.042977,-0.993821,-0.045,0.017
234,0,7.774,0.98,1,0.006694,-0.011629,-0.99991,-0.093866,0.050716,-0.994292,-0.044,0.02
235,0,7.808,0.98,1,0.000505,-0.01226,-0.999925,-0.091292,0.046772,-0.994725,-0.045,0.017
236,0,7.841,0.98,1,0.005657,-0.015528,-0.999863,-0.097487,0.048366,-0.994061,-0.046,0.016
237,0,7.875,0.98,1,0.002295,-0.008775,-0.999959,-0.100318,0.0516,-0.993616,-0.049,0.021
238,0,7.908,0.98,1,0.000512,-0.012409,-0.999923,-0.09292,0.048164,-0.994508,-0.046,0.018
239,0,7.941,0.98,1,0.015636,-0.00897,-0.999838,-0.090909,0.054615,-0.99436,-0.038,0.023
240,0,7.975,0.98,1,0.023106,-0.000258,-0.999733,-0.093428,0.06308,-0.993626,-0.035,0.032
241,0,8.008,0.98,1,0.024295,-0.000963,-0.999704,-0.091114,0.065123,-0.993709,-0.034,0.032
242,0,8.041,0.98,1,0.01654,0.002284,-0.999861,-0.091478,0.059464,-0.99403,-0.038,0.031
