frame,timestamp in s,success,yaw in radians,pitch in radians
372,12.379,1,-0.19,-0.274
373,12.412,1,-0.244,-0.278
374,12.446,1,-0.223,-0.278
375,12.479,1,-0.247,-0.284
376,12.513,1,-0.25,-0.271
377,12.546,1,-0.194,-0.263
378,12.579,1,-0.206,-0.272
379,12.613,1,-0.17,-0.255
380,12.646,1,-0.206,-0.248
381,12.679,1,-0.184,-0.325
382,12.713,1,-0.215,-0.242
383,12.746,1,-0.214,-0.276
384,12.779,1,-0.229,-0.3
385,12.813,1,-0.236,-0.257
386,12.846,1,-0.255,-0.303
387,12.88,1,-0.226,-0.3
388,12.913,1,-0.21,-0.269
389,12.946,1,-0.233,-0.322
390,12.98,1,-0.215,-0.285
391,13.013,1,-0.254,-0.29
392,13.046,1,-0.263,-0.273
393,13.08,1,-0.231,-0.277
394,13.113,1,-0.239,-0.303
395,13.146,1,-0.187,-0.263
396,13.18,1,-0.244,-0.261
397,13.213,1,-0.231,-0.296
398,13.247,1,-0.282,-0.265
399,13.28,1,-0.264,-0.275
400,13.313,1,-0.277,-0.3
401,13.347,1,-0.242,-0.295
402,13.38,1,-0.258,-0.291
403,13.413,1,-0.286,-0.296
404,13.447,1,-0.293,-0.272
405,13.48,1,-0.241,-0.238
406,13.514,1,-0.278,-0.24
407,13.547,1,-0.301,-0.217
